"","x"
"824",548351200
"825",244730014
"826",353657000
"827",538001388
"828",256594000
"829",369142000
"830",305793000
"831",566746000
"832",210145000
"833",244670789
"834",253000073
"835",205372690
"836",352001901
"837",636017059
"838",256247000
"839",369043000
"840",211626380
"841",229822000
"842",538007832
"843",309518000
"844",244670102
"845",244001635
"846",255953000
"847",261186488
"848",265063000
"849",205541790
"850",232010294
"851",352002290
"852",218057000
"853",258200000
"854",235108526
"855",311000534
"856",230706000
"857",244890275
"858",244660210
"859",244006327
"860",219032007
"861",226015090
"862",219028418
"863",266468000
"864",525110231
"865",371414000
"866",311000576
"867",316013946
"868",671554100
"869",247284100
"870",636015141
"871",215875000
"872",235076274
"873",244370856
"874",205587990
"875",244690454
"876",218005320
"877",211514890
"878",244130505
"879",224127820
"880",259005800
"881",244090097
"882",244660638
"883",209415000
"884",244700682
"885",636021207
"886",563207500
"887",257595000
"888",244736772
"889",205573990
"890",249658000
"891",244690474
"892",244700200
"893",211888330
"894",257233800
"895",538009744
"896",613709612
"897",205260090
"898",255892000
"899",211612900
"900",538010615
"901",211832730
"902",240870000
"903",244670444
"904",239998600
"905",244660257
"906",316013215
"907",241456000
"908",248109000
"909",636022952
"910",538008826
"911",273450010
"912",244034502
"913",211883810
"914",255735000
"915",244660648
"916",338371000
"917",247439900
"918",244670466
"919",211783290
"920",257479000
"921",244770079
"922",244660725
"923",256448000
"924",255805927
"925",235089046
"926",636020363
"927",257266000
"928",431028212
"929",244001028
"930",311000465
"931",538005409
"932",215018000
"933",210908000
"934",636015145
"935",211395020
"936",228465700
"937",636093403
"938",228296700
"939",244047386
"940",218055210
"941",258802000
"942",218019000
"943",538009396
"944",210107000
"945",636025927
"946",257089150
"947",235115081
"948",205257090
"949",269057472
"950",255915983
"951",256903000
"952",244650607
"953",477410300
"954",477895100
"955",316041032
"956",572836220
"957",563157800
"958",244020000
"959",564230000
"960",211500400
"961",512465000
"962",636018639
"963",211755810
"964",538006546
"965",636018113
"966",265012140
"967",366904000
"968",244860573
"969",205521790
"970",211518200
"971",431012555
"972",257121400
"973",247324900
"974",367336000
"975",255805991
"976",372628000
"977",244670122
"978",211587970
"979",636024115
"980",269057522
"981",253690000
"982",244790994
"983",244710903
"984",255954000
"985",244810632
"986",244130295
"987",257874000
"988",257970000
"989",316011550
"990",636025561
"991",210431000
"992",226005390
"993",244004774
"994",244830512
"995",563273700
"996",265704520
"997",538005408
"998",636024121
"999",563264900
"1000",564739000
"1001",244074390
"1002",567003420
"1003",403643000
"1004",211402850
"1005",248221000
"1006",316003880
"1007",311000111
"1008",205555490
"1009",564302000
"1010",255804460
"1011",636023890
"1012",235007413
"1013",232003788
"1014",244710949
"1015",244059346
"1016",266472000
"1017",370645000
"1018",477855300
"1019",525011127
"1020",369150000
"1021",565823000
"1022",244314633
"1023",525901371
"1024",244700191
"1025",249066000
"1026",244670343
"1027",255805754
"1028",247452200
"1029",566212000
"1030",211891330
"1031",244700192
"1032",525018505
"1033",211510980
"1034",211471880
"1035",219200000
"1036",352001885
"1037",257061880
"1038",205453690
"1039",255805470
"1040",244504782
"1041",257895000
"1042",219031446
"1043",563877000
"1044",538011264
"1045",244650838
